Price,Host_Response_Rate,Accommodates,Bathrooms,Bedrooms,Beds,Guests_Included,Review_Scores_Rating,Entire Home / Apt,Private Room,Shared Room,Property_Type)Apartment,Property_Type)Bed & Breakfast,Property_Type)Condominium,Property_Type)House,Property_Type)Loft,Property_Type)Other,Cancellation_Policy)flexible,Cancellation_Policy)moderate,Cancellation_Policy)strict,Cleaning Fee: No,Cleaning Fee: Yes
100,75,3,1,1,1,1,92,1,0,0,1,0,0,0,0,0,0,1,0,0,1
569,97,6,3,3,4,1,87,1,0,0,1,0,0,0,0,0,0,0,1,1,0
169,100,4,1.5,2,2,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
31,50,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,1,0
45,100,2,1,0,1,1,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
150,100,6,1,4,6,1,60,1,0,0,1,0,0,0,0,0,1,0,0,0,1
45,100,2,1.5,0,1,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
35,100,2,1,0,1,1,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
40,100,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,1,0
55,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
55,100,3,1,1,2,1,84,1,0,0,1,0,0,0,0,0,0,0,1,0,1
180,100,6,1,3,4,1,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
60,50,2,1,0,1,1,80,1,0,0,1,0,0,0,0,0,1,0,0,1,0
50,75,5,1,1,5,2,69,1,0,0,1,0,0,0,0,0,0,0,1,0,1
100,98,4,1,0,3,1,87,1,0,0,1,0,0,0,0,0,0,0,1,0,1
190,100,5,1,1,4,1,98,1,0,0,1,0,0,0,0,0,1,0,0,1,0
50,100,2,1,0,1,1,94,1,0,0,1,0,0,0,0,0,0,1,0,1,0
65,100,1,1,1,1,1,88,1,0,0,1,0,0,0,0,0,0,0,1,0,1
240,100,6,2,3,5,1,97,1,0,0,1,0,0,0,0,0,0,0,1,0,1
46,100,2,1,0,1,1,90,1,0,0,1,0,0,0,0,0,0,1,0,0,1
90,100,3,1,2,2,2,80,1,0,0,1,0,0,0,0,0,0,0,1,0,1
210,99,3,1,0,1,1,90,1,0,0,1,0,0,0,0,0,0,1,0,0,1
180,100,4,1,2,2,1,94,1,0,0,1,0,0,0,0,0,0,0,1,0,1
140,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,1,0,1,0
109,75,3,1,3,2,1,47,1,0,0,1,0,0,0,0,0,1,0,0,0,1
140,100,4,1,1,2,1,91,1,0,0,1,0,0,0,0,0,1,0,0,0,1
190,100,6,2.5,3,4,5,97,1,0,0,1,0,0,0,0,0,0,1,0,0,1
170,98,4,1,1,2,1,95,1,0,0,1,0,0,0,0,0,0,0,1,0,1
90,100,4,1,1,2,2,88,1,0,0,1,0,0,0,0,0,0,0,1,0,1
75,100,2,1,1,1,1,87,1,0,0,1,0,0,0,0,0,1,0,0,1,0
118,100,3,1,0,2,2,95,1,0,0,1,0,0,0,0,0,0,1,0,0,1
525,99,8,3.5,4,4,1,96,1,0,0,1,0,0,0,0,0,0,0,1,0,1
85,100,2,1,1,1,1,98,0,1,0,1,0,0,0,0,0,1,0,0,0,1
